Src	Eqid	Version	Datetime	Lat	Lon	Magnitude	Depth	NST	Region
ak	10682338	2	"Wednesday, March 27, 2013 20:01:36 UTC"	61.32	-150.29	1	46.7	16	Southern Alaska
ak	10683381	2	"Wednesday, March 27, 2013 19:57:26 UTC"	63.07	-150.69	1	108.8	18	Central Alaska
nc	71961665	0	"Wednesday, March 27, 2013 19:48:56 UTC"	38.78	-122.73	1.3	2.8	14	Northern California
ci	11273874	3	"Wednesday, March 27, 2013 19:48:16 UTC"	33.49	-116.43	2.7	9.2	93	Southern California
ci	11273866	1	"Wednesday, March 27, 2013 19:44:47 UTC"	33.49	-116.42	1.2	10.6	32	Southern California
ak	10682321	2	"Wednesday, March 27, 2013 19:39:43 UTC"	61.4	-150.78	1.4	64.8	36	Southern Alaska
nc	71961645	0	"Wednesday, March 27, 2013 19:34:01 UTC"	36.92	-121.43	1.2	4.3	9	Central California
nc	71961640	1	"Wednesday, March 27, 2013 19:27:41 UTC"	38.81	-122.82	1.4	3.1	31	Northern California
ak	10682306	2	"Wednesday, March 27, 2013 19:24:52 UTC"	63.57	-150.77	1	9.1	14	Central Alaska
ci	11273858	1	"Wednesday, March 27, 2013 19:24:28 UTC"	33.49	-116.44	1.4	8.9	38	Southern California
ak	10682301	2	"Wednesday, March 27, 2013 19:23:29 UTC"	62.52	-152.15	1.9	127.3	48	Central Alaska
ci	11273850	1	"Wednesday, March 27, 2013 19:22:01 UTC"	33.48	-116.43	1.3	9.6	44	Southern California
ci	11273810	1	"Wednesday, March 27, 2013 19:17:43 UTC"	33.29	-116.26	1.1	5.3	30	Southern California
nn	407573	1	"Wednesday, March 27, 2013 19:11:42 UTC"	37.99	-118.47	1.3	7.7	19	Nevada
ak	10682285	3	"Wednesday, March 27, 2013 19:11:13 UTC"	62.91	-150.75	3.1	108.5	88	Central Alaska
ak	10682283	2	"Wednesday, March 27, 2013 19:07:09 UTC"	63.48	-151.13	1.2	2.5	23	Central Alaska
ci	11273786	1	"Wednesday, March 27, 2013 19:02:57 UTC"	33.49	-116.43	1.1	8.9	30	Southern California
nc	71961630	2	"Wednesday, March 27, 2013 18:59:46 UTC"	40.44	-123.11	1.9	28.6	30	Northern California
ci	11273778	1	"Wednesday, March 27, 2013 18:58:52 UTC"	33.49	-116.42	1.7	9.8	55	Southern California
ak	10683375	2	"Wednesday, March 27, 2013 18:54:56 UTC"	63.25	-150.59	1	126.8	18	Central Alaska
ci	11273770	1	"Wednesday, March 27, 2013 18:53:22 UTC"	33.49	-116.43	1.6	9.4	40	Southern California
ci	11273762	1	"Wednesday, March 27, 2013 18:52:43 UTC"	33.49	-116.44	2.2	8.3	75	Southern California
ci	11273754	1	"Wednesday, March 27, 2013 18:41:52 UTC"	33.49	-116.43	1	10.6	32	Southern California
ci	11273746	1	"Wednesday, March 27, 2013 18:41:11 UTC"	33.49	-116.43	1.1	10.2	31	Southern California
ci	11273730	1	"Wednesday, March 27, 2013 18:38:35 UTC"	33.49	-116.42	1.3	9.9	37	Southern California
ci	11273722	1	"Wednesday, March 27, 2013 18:37:46 UTC"	33.49	-116.42	1.1	9.1	28	Southern California
ci	11273658	1	"Wednesday, March 27, 2013 18:18:31 UTC"	33.49	-116.43	1.8	10.2	34	Southern California
ci	11273650	3	"Wednesday, March 27, 2013 18:17:43 UTC"	33.49	-116.43	2.6	9	58	Southern California
ci	11273634	6	"Wednesday, March 27, 2013 18:16:59 UTC"	33.49	-116.44	3.7	8.8	85	Southern California
ak	10682250	2	"Wednesday, March 27, 2013 18:09:47 UTC"	63.33	-149.67	1.1	96	25	Central Alaska
pr	13086002	0	"Wednesday, March 27, 2013 18:05:04 UTC"	18.14	-64.98	1.8	27	4	Virgin Islands region
nc	71961595	1	"Wednesday, March 27, 2013 18:03:39 UTC"	38.82	-122.81	1.1	3.4	26	Northern California
ak	10683373	2	"Wednesday, March 27, 2013 18:02:55 UTC"	61.42	-151.55	1.4	71.4	27	Southern Alaska
nc	71961590	1	"Wednesday, March 27, 2013 18:02:47 UTC"	38.76	-122.73	1.4	2.9	24	Northern California
ci	11273602	2	"Wednesday, March 27, 2013 18:00:02 UTC"	33.49	-116.43	1.4	8.5	39	Southern California
ci	11273594	2	"Wednesday, March 27, 2013 17:59:19 UTC"	33.49	-116.43	1.2	9.3	29	Southern California
ci	11273570	2	"Wednesday, March 27, 2013 17:57:33 UTC"	33.49	-116.43	1	9.3	26	Southern California
ci	11273554	2	"Wednesday, March 27, 2013 17:54:25 UTC"	33.49	-116.43	1.6	9.2	43	Southern California
ci	11273546	2	"Wednesday, March 27, 2013 17:53:30 UTC"	33.49	-116.44	2.1	8.7	74	Southern California
ci	11273538	2	"Wednesday, March 27, 2013 17:53:12 UTC"	33.49	-116.43	1	10.4	15	Southern California
ci	11273530	2	"Wednesday, March 27, 2013 17:52:55 UTC"	33.49	-116.43	1.4	10	29	Southern California
ci	11273514	1	"Wednesday, March 27, 2013 17:52:26 UTC"	33.49	-116.42	1.3	8.3	39	Southern California
ci	11273498	5	"Wednesday, March 27, 2013 17:50:29 UTC"	33.49	-116.44	3.4	8.5	109	Southern California
uu	60017217	2	"Wednesday, March 27, 2013 17:45:48 UTC"	44.36	-110.81	1.4	3	14	"Yellowstone National Park, Wyoming"
us	b000ftux	5	"Wednesday, March 27, 2013 17:44:52 UTC"	-25.98	-177.23	4.7	147.8	90	south of the Fiji Islands
ak	10683372	2	"Wednesday, March 27, 2013 17:43:08 UTC"	56.99	-156.74	2.2	86	18	Alaska Peninsula
ci	11273482	4	"Wednesday, March 27, 2013 17:36:32 UTC"	34.63	-117.11	1.6	0	38	Southern California
ci	11273466	2	"Wednesday, March 27, 2013 17:29:08 UTC"	33.49	-116.44	1.7	8.7	47	Southern California
ak	10683370	2	"Wednesday, March 27, 2013 17:16:46 UTC"	62.45	-151.31	1.1	82.6	18	Central Alaska
nc	71961540	1	"Wednesday, March 27, 2013 17:14:40 UTC"	38.82	-122.81	1.8	3.6	40	Northern California
ak	10683369	2	"Wednesday, March 27, 2013 17:03:19 UTC"	62.88	-150.6	1.1	98.3	19	Central Alaska
nc	71961525	1	"Wednesday, March 27, 2013 16:46:18 UTC"	38.8	-122.82	1.4	3.4	24	Northern California
us	2013ngam	5	"Wednesday, March 27, 2013 16:39:10 UTC"	1.42	99.16	4.3	34.6	14	"northern Sumatra, Indonesia"
ak	10682182	2	"Wednesday, March 27, 2013 16:37:35 UTC"	62.24	-150.19	2.5	13.9	51	Central Alaska
ak	10682181	2	"Wednesday, March 27, 2013 16:36:50 UTC"	63.17	-151.32	1.8	10.4	23	Central Alaska
nn	407556	1	"Wednesday, March 27, 2013 16:28:32 UTC"	37.38	-117.1	1.6	0	11	Nevada
ak	10683365	2	"Wednesday, March 27, 2013 16:11:22 UTC"	62.47	-152.26	1.4	122.4	25	Central Alaska
ak	10682172	2	"Wednesday, March 27, 2013 16:06:45 UTC"	60.18	-151.18	1.6	63.4	39	"Kenai Peninsula, Alaska"
ak	10682170	2	"Wednesday, March 27, 2013 16:05:26 UTC"	62.23	-148.54	1.1	38.4	28	Central Alaska
ak	10682161	2	"Wednesday, March 27, 2013 14:51:29 UTC"	54.71	-161.31	2.5	22.6	15	Alaska Peninsula
ci	11273418	2	"Wednesday, March 27, 2013 14:43:35 UTC"	34.7	-118.77	1.5	6.8	29	Southern California
nc	71961470	1	"Wednesday, March 27, 2013 14:35:26 UTC"	38.78	-122.73	1.6	1.8	20	Northern California
nm	032713d	A	"Wednesday, March 27, 2013 14:18:49 UTC"	36.49	-89.55	1.2	9.6	12	southeastern Missouri
nc	71961460	0	"Wednesday, March 27, 2013 14:11:58 UTC"	38.78	-122.73	1.4	2.5	22	Northern California
nc	71961430	2	"Wednesday, March 27, 2013 13:36:28 UTC"	37.41	-118.31	1.1	7.1	8	Central California
nc	71961420	5	"Wednesday, March 27, 2013 13:13:36 UTC"	38.81	-122.78	1.9	3.8	66	Northern California
nm	032713c	A	"Wednesday, March 27, 2013 13:13:23 UTC"	36.42	-89.5	1.5	6.8	13	Tennessee
nc	71961400	5	"Wednesday, March 27, 2013 12:24:34 UTC"	40.23	-124.15	2	10.6	29	Northern California
ak	10683358	2	"Wednesday, March 27, 2013 11:50:13 UTC"	60.38	-147.59	1.4	11	22	Southern Alaska
ci	11273402	2	"Wednesday, March 27, 2013 11:38:13 UTC"	33.28	-116.84	1.3	12.2	39	Southern California
ci	11273394	2	"Wednesday, March 27, 2013 11:23:41 UTC"	35.93	-117.66	2.3	2	34	Central California
ak	10682131	2	"Wednesday, March 27, 2013 11:05:46 UTC"	60.7	-147.73	1.3	5.9	25	Southern Alaska
nc	71961385	7	"Wednesday, March 27, 2013 10:52:26 UTC"	37.32	-118.31	2	12.1	38	Central California
ci	11273378	2	"Wednesday, March 27, 2013 10:50:00 UTC"	33.02	-115.89	1.1	6.8	30	Southern California
uu	60017202	2	"Wednesday, March 27, 2013 10:32:32 UTC"	38.13	-111.26	1.7	9.3	6	Utah
uw	60513176	1	"Wednesday, March 27, 2013 10:28:59 UTC"	47.36	-122.67	1.4	19.3	18	"Seattle-Tacoma urban area, Washington"
pr	13086001	0	"Wednesday, March 27, 2013 10:26:11 UTC"	18.89	-65.5	2.7	28	4	Puerto Rico region
ak	10683355	2	"Wednesday, March 27, 2013 10:25:28 UTC"	65.14	-151.7	1.4	8.1	18	northern Alaska
ak	10682123	2	"Wednesday, March 27, 2013 10:13:12 UTC"	61.32	-146.64	1.2	19.1	27	Southern Alaska
nc	71961360	0	"Wednesday, March 27, 2013 10:01:53 UTC"	38.77	-122.72	1.4	2.4	14	Northern California
ak	10683353	2	"Wednesday, March 27, 2013 09:33:16 UTC"	65.2	-152.45	1	7.7	13	northern Alaska
se	32713	C	"Wednesday, March 27, 2013 09:10:49 UTC"	38.66	-82.21	2.5	15.4	20	Ohio
ak	10682116	2	"Wednesday, March 27, 2013 08:41:33 UTC"	62.19	-148	1.8	9.7	51	Central Alaska
nc	71961345	3	"Wednesday, March 27, 2013 08:34:59 UTC"	39.99	-120.79	1.7	11.8	19	Northern California
uw	60513171	1	"Wednesday, March 27, 2013 08:31:37 UTC"	47.36	-122.68	1.5	22.3	31	"Seattle-Tacoma urban area, Washington"
ak	10683351	2	"Wednesday, March 27, 2013 08:26:52 UTC"	59.69	-152.48	1.9	82.9	32	Southern Alaska
nn	407535	1	"Wednesday, March 27, 2013 08:14:35 UTC"	38.02	-118.07	1.1	9.5	13	Nevada
hv	60483211	1	"Wednesday, March 27, 2013 08:11:47 UTC"	19.2	-155.5	1.7	1.9	33	"Island of Hawaii, Hawaii"
ci	11273338	1	"Wednesday, March 27, 2013 08:05:38 UTC"	33.46	-116.42	1.2	14	44	Southern California
ak	10682108	2	"Wednesday, March 27, 2013 07:47:19 UTC"	61.72	-151.82	1.6	102	41	Southern Alaska
nc	71961330	1	"Wednesday, March 27, 2013 07:31:44 UTC"	38.8	-122.8	1.5	3.1	29	Northern California
ci	11273330	1	"Wednesday, March 27, 2013 07:20:28 UTC"	33.5	-116.46	2.2	8.8	81	Southern California
ak	10682103	2	"Wednesday, March 27, 2013 07:18:37 UTC"	61.6	-150.97	1.6	78.7	43	Southern Alaska
nc	71961315	2	"Wednesday, March 27, 2013 07:04:53 UTC"	36.19	-120.77	1.4	6.2	33	Central California
us	b000ftiv	4	"Wednesday, March 27, 2013 06:42:46 UTC"	-57.28	-24.93	5.5	10	29	South Sandwich Islands region
ak	10682202	3	"Wednesday, March 27, 2013 06:36:09 UTC"	53.51	-165.35	2.3	41.2	27	"Fox Islands, Aleutian Islands, Alaska"
nm	032713b	A	"Wednesday, March 27, 2013 06:30:46 UTC"	36.16	-89.67	2.3	6.4	34	southeastern Missouri
uu	60017197	2	"Wednesday, March 27, 2013 06:23:32 UTC"	39.44	-111.19	1	2.6	6	Utah
ci	11273306	1	"Wednesday, March 27, 2013 06:14:57 UTC"	35.68	-118.08	1.1	3.2	18	Central California
nn	407529	1	"Wednesday, March 27, 2013 06:12:06 UTC"	37.98	-118.47	1.8	8.4	19	Nevada
uu	60017187	2	"Wednesday, March 27, 2013 06:07:49 UTC"	39.43	-111.22	1.2	1	7	Utah
us	b000ftid	4	"Wednesday, March 27, 2013 05:59:41 UTC"	-57.35	-24.87	5.6	10	37	South Sandwich Islands region
nc	71961285	0	"Wednesday, March 27, 2013 05:56:47 UTC"	38.75	-122.7	1.5	2.4	15	Northern California
nc	71961280	2	"Wednesday, March 27, 2013 05:44:07 UTC"	36.29	-120.86	1.6	6.5	24	Central California
nc	71961275	1	"Wednesday, March 27, 2013 05:42:57 UTC"	38.79	-122.75	1.6	2.7	32	Northern California
ci	11273290	1	"Wednesday, March 27, 2013 05:35:53 UTC"	33.76	-116.9	1	14.6	40	Southern California
ak	10682063	2	"Wednesday, March 27, 2013 05:28:58 UTC"	60.43	-150.15	1.6	33.9	37	"Kenai Peninsula, Alaska"
ak	10683346	2	"Wednesday, March 27, 2013 05:19:13 UTC"	63.25	-150.73	1.2	127	19	Central Alaska
uu	60017177	2	"Wednesday, March 27, 2013 05:00:42 UTC"	39.42	-111.21	1.3	2.3	6	Utah
nc	71961265	1	"Wednesday, March 27, 2013 04:49:25 UTC"	36.9	-121.35	1.6	9	28	Central California
ci	11273274	2	"Wednesday, March 27, 2013 04:36:07 UTC"	33.66	-116.76	1	16.8	38	Southern California
ak	10682054	2	"Wednesday, March 27, 2013 04:16:48 UTC"	62.31	-148.9	1.4	37.5	38	Central Alaska
ak	10682053	2	"Wednesday, March 27, 2013 04:02:53 UTC"	62.79	-148.41	1	62.2	20	Central Alaska
ak	10682050	2	"Wednesday, March 27, 2013 03:58:12 UTC"	62.29	-148.53	1.6	42.6	41	Central Alaska
uu	60017172	2	"Wednesday, March 27, 2013 03:41:52 UTC"	39.43	-111.21	1.6	2.6	6	Utah
ak	10682049	3	"Wednesday, March 27, 2013 03:40:57 UTC"	60.93	-150.85	1.2	28.2	25	"Kenai Peninsula, Alaska"
ak	10682048	2	"Wednesday, March 27, 2013 03:24:15 UTC"	61.27	-151.13	1.4	63.4	35	Southern Alaska
ak	10683340	2	"Wednesday, March 27, 2013 03:20:35 UTC"	62.47	-148.21	1.1	43.8	31	Central Alaska
ak	10683338	2	"Wednesday, March 27, 2013 02:33:21 UTC"	63.57	-149.82	1.1	116.4	14	Central Alaska
ak	10682037	2	"Wednesday, March 27, 2013 02:21:20 UTC"	60.93	-150.89	2.3	10.8	52	"Kenai Peninsula, Alaska"
uu	60017167	2	"Wednesday, March 27, 2013 02:16:50 UTC"	39.44	-111.21	1.5	2.9	6	Utah
nc	71961240	0	"Wednesday, March 27, 2013 02:08:26 UTC"	36.94	-121.43	1.2	7.5	10	Central California
us	b000ftgc	7	"Wednesday, March 27, 2013 02:03:20 UTC"	23.83	121.13	6	20.7	93	Taiwan
ak	10681872	2	"Wednesday, March 27, 2013 01:57:15 UTC"	60.73	-148.34	2.7	26	63	"Kenai Peninsula, Alaska"
nc	71961230	0	"Wednesday, March 27, 2013 01:38:37 UTC"	38.79	-122.86	1.2	13.7	7	Northern California
ak	10683335	2	"Wednesday, March 27, 2013 01:29:50 UTC"	66.51	-142.47	1.6	19.6	14	northern Alaska
nc	71961220	1	"Wednesday, March 27, 2013 01:27:23 UTC"	38.77	-122.75	1.7	1.4	25	Northern California
us	b000ftfz	6	"Wednesday, March 27, 2013 01:25:45 UTC"	45.37	142.69	5	280.1	80	"Hokkaido, Japan region"
pr	13086000	0	"Wednesday, March 27, 2013 00:53:19 UTC"	18.83	-67.39	3.1	10	15	Puerto Rico region
ak	10681855	2	"Wednesday, March 27, 2013 00:51:55 UTC"	63.28	-150.46	1.3	123.1	25	Central Alaska
ci	11273218	3	"Wednesday, March 27, 2013 00:44:43 UTC"	31.99	-116.27	3.3	15.4	24	"Baja California, Mexico"
nn	407515	1	"Wednesday, March 27, 2013 00:44:24 UTC"	39.42	-119.85	1.3	10.7	24	Nevada
uu	60017152	4	"Wednesday, March 27, 2013 00:42:29 UTC"	39.44	-111.22	1.4	1.1	14	Utah
nc	71961195	3	"Wednesday, March 27, 2013 00:40:07 UTC"	40.92	-122.44	1.7	9.7	22	Northern California
ak	10683331	2	"Wednesday, March 27, 2013 00:12:04 UTC"	63.26	-150.52	1.4	128.8	21	Central Alaska
nc	71961180	2	"Wednesday, March 27, 2013 00:11:30 UTC"	39.88	-120.47	1	7.6	14	Northern California
nn	407506	1	"Tuesday, March 26, 2013 23:58:07 UTC"	37.29	-114.94	1.7	0	3	Nevada
nc	71961170	0	"Tuesday, March 26, 2013 23:56:14 UTC"	37.38	-122.19	1.1	3.7	9	"San Francisco Bay area, California"
uw	60513066	1	"Tuesday, March 26, 2013 23:55:56 UTC"	44.39	-121.01	2.1	0	20	Oregon
nm	032713e	A	"Tuesday, March 26, 2013 23:47:05 UTC"	36.57	-89.59	1.6	7.8	22	southeastern Missouri
us	b000ftet	8	"Tuesday, March 26, 2013 23:35:24 UTC"	43.23	41.65	5.1	10	112	"Caucasus region, Russia"
ci	11273178	2	"Tuesday, March 26, 2013 23:24:55 UTC"	35.04	-117.66	1.6	0	18	Southern California
ci	11273170	4	"Tuesday, March 26, 2013 23:21:33 UTC"	32.9	-115.52	2.6	13.9	38	Southern California
nn	407495	1	"Tuesday, March 26, 2013 23:20:03 UTC"	39.42	-119.85	1.2	10.6	28	Nevada
ci	11273162	6	"Tuesday, March 26, 2013 23:19:00 UTC"	34.76	-118.95	1.4	15.5	11	Southern California
ak	10681742	1	"Tuesday, March 26, 2013 23:06:00 UTC"	65	-147.42	1.2	0.2	6	northern Alaska
nn	407491	1	"Tuesday, March 26, 2013 23:01:44 UTC"	39.42	-119.85	1	10.5	11	Nevada
nn	407488	1	"Tuesday, March 26, 2013 22:55:46 UTC"	39.02	-118.39	1.7	0	16	Nevada
ci	11273138	4	"Tuesday, March 26, 2013 22:49:59 UTC"	32.54	-116.77	1.8	0	20	"Baja California, Mexico"
nc	71961140	0	"Tuesday, March 26, 2013 22:24:05 UTC"	38.8	-122.8	1.7	1.4	17	Northern California
nc	71961125	0	"Tuesday, March 26, 2013 21:42:52 UTC"	36.93	-121.43	1.3	6.6	12	Central California
ak	10681710	1	"Tuesday, March 26, 2013 21:39:55 UTC"	61.2	-149.83	1.9	47.1	16	Southern Alaska
nc	71961120	2	"Tuesday, March 26, 2013 21:37:03 UTC"	36.05	-120.34	1.1	9.9	24	Central California
uu	60017122	2	"Tuesday, March 26, 2013 21:32:39 UTC"	38.77	-111.58	1.2	7.9	6	Utah
nc	71961115	0	"Tuesday, March 26, 2013 21:28:02 UTC"	38.8	-122.81	1.2	2.1	21	Northern California
ci	11273090	2	"Tuesday, March 26, 2013 21:14:56 UTC"	35.75	-118.43	1	7	10	Central California
ci	11273082	2	"Tuesday, March 26, 2013 21:09:40 UTC"	33.99	-116.62	1.1	5.9	24	Southern California
uw	60513041	1	"Tuesday, March 26, 2013 21:09:08 UTC"	49.43	-120.52	2.2	0	6	"British Columbia, Canada"
nc	71961105	0	"Tuesday, March 26, 2013 21:06:32 UTC"	37.38	-122.18	1.6	4.6	12	"San Francisco Bay area, California"
nc	71961080	0	"Tuesday, March 26, 2013 20:42:29 UTC"	38.59	-122.8	1.9	0.8	19	Northern California
nc	71961075	1	"Tuesday, March 26, 2013 20:22:17 UTC"	37.56	-118.85	1.7	9.3	24	Central California
ci	11273010	6	"Tuesday, March 26, 2013 20:17:54 UTC"	34.24	-116.77	2.8	9.1	100	Southern California
ak	10681671	2	"Tuesday, March 26, 2013 20:05:03 UTC"	63.07	-149.26	1.1	72.9	18	Central Alaska
nn	407455	1	"Tuesday, March 26, 2013 20:01:19 UTC"	37.33	-114.96	3.4	10.1	5	Nevada
nc	71961065	3	"Tuesday, March 26, 2013 19:57:01 UTC"	38.81	-122.81	2	3.1	73	Northern California
nc	71961060	0	"Tuesday, March 26, 2013 19:45:43 UTC"	38.82	-122.82	1	2.7	20	Northern California
nn	407449	1	"Tuesday, March 26, 2013 19:28:45 UTC"	37.29	-114.92	1.6	0	3	Nevada
nn	407446	1	"Tuesday, March 26, 2013 19:15:47 UTC"	38.28	-118.67	1	0	10	Nevada
nc	71961040	3	"Tuesday, March 26, 2013 19:11:05 UTC"	36.82	-121.56	2.3	5.9	71	Central California
ci	11272954	1	"Tuesday, March 26, 2013 18:46:16 UTC"	34.03	-117.24	1.4	16.9	44	"Greater Los Angeles area, California"
nc	71961005	0	"Tuesday, March 26, 2013 18:24:40 UTC"	38.75	-122.73	1.3	1.7	13	Northern California
uw	60512976	1	"Tuesday, March 26, 2013 18:22:41 UTC"	42.36	-123.34	1	0	7	Oregon
nc	71961000	3	"Tuesday, March 26, 2013 18:07:44 UTC"	36.06	-121.04	1.8	12.5	60	Central California
ci	11272914	2	"Tuesday, March 26, 2013 17:55:05 UTC"	34	-117.18	1.1	4.8	31	"Greater Los Angeles area, California"
ci	11272898	2	"Tuesday, March 26, 2013 17:47:27 UTC"	32.88	-116.25	1.2	8.8	18	Southern California
ci	11272890	2	"Tuesday, March 26, 2013 17:41:10 UTC"	35.02	-117.68	1.4	0	19	Southern California
us	b000fszu	9	"Tuesday, March 26, 2013 17:36:25 UTC"	-33.15	-179.39	5.4	50.7	117	south of the Kermadec Islands
ak	10681558	1	"Tuesday, March 26, 2013 17:33:50 UTC"	63.25	-151.56	1.6	8	10	Central Alaska
us	b000fsz8	A	"Tuesday, March 26, 2013 17:23:57 UTC"	-9.41	120.24	5.5	65	113	"Sumba region, Indonesia"
nc	71960955	0	"Tuesday, March 26, 2013 17:08:06 UTC"	38.59	-122.8	1.8	1.2	13	Northern California
ci	11272882	2	"Tuesday, March 26, 2013 17:01:31 UTC"	33.84	-117.49	1.6	0	36	"Greater Los Angeles area, California"
ak	10681487	1	"Tuesday, March 26, 2013 16:19:56 UTC"	61.65	-150.88	1.9	70.7	21	Southern Alaska
ci	11272874	2	"Tuesday, March 26, 2013 16:14:17 UTC"	35.93	-117.66	1	2.7	12	Central California
uu	60017062	2	"Tuesday, March 26, 2013 16:12:52 UTC"	39.38	-111.22	1.5	8	5	Utah
ak	10681471	2	"Tuesday, March 26, 2013 15:46:54 UTC"	51.62	-177.08	2.6	53.2	15	"Andreanof Islands, Aleutian Islands, Alaska"
ci	11272858	2	"Tuesday, March 26, 2013 15:39:48 UTC"	34.05	-116.71	2.2	12.4	77	Southern California
nc	71960885	5	"Tuesday, March 26, 2013 15:34:45 UTC"	40.56	-124.38	2.2	21	20	offshore Northern California
ak	10681451	1	"Tuesday, March 26, 2013 15:23:11 UTC"	62.69	-149.86	2.4	83.3	38	Central Alaska
us	2013nfaw	A	"Tuesday, March 26, 2013 15:22:07 UTC"	16.16	-98.1	4.2	10	43	"offshore Oaxaca, Mexico"
nc	71960865	3	"Tuesday, March 26, 2013 15:05:57 UTC"	35.54	-120.76	1.1	5.7	44	Central California
us	2013nfau	7	"Tuesday, March 26, 2013 14:53:08 UTC"	-24.48	-179.98	4.5	511.1	39	south of the Fiji Islands
nc	71960855	5	"Tuesday, March 26, 2013 14:37:13 UTC"	40.57	-124.44	2.9	22.2	25	offshore Northern California
pr	13085005	0	"Tuesday, March 26, 2013 14:19:41 UTC"	18.14	-67.48	2.7	5	10	"Mona Passage, Puerto Rico"
pr	13085004	0	"Tuesday, March 26, 2013 14:16:24 UTC"	18.3	-67.33	2.6	27	5	"Mona Passage, Puerto Rico"
ak	10681431	1	"Tuesday, March 26, 2013 14:15:29 UTC"	63.07	-151.38	1.8	2.6	13	Central Alaska
nc	71960850	0	"Tuesday, March 26, 2013 14:05:38 UTC"	36.93	-121.43	1.4	6.2	16	Central California
mb	13343862	2	"Tuesday, March 26, 2013 13:45:14 UTC"	48.09	-113.04	2.7	6.3	42	western Montana
us	2013nfat	4	"Tuesday, March 26, 2013 13:37:49 UTC"	8.72	-40.42	4.7	10	23	central Mid-Atlantic Ridge
us	2013nfas	B	"Tuesday, March 26, 2013 13:36:15 UTC"	16.48	-98.02	4.6	10	127	"Oaxaca, Mexico"
ci	11272834	2	"Tuesday, March 26, 2013 13:33:55 UTC"	33.52	-116.43	1.6	10.9	34	Southern California
ci	11272826	1	"Tuesday, March 26, 2013 13:33:29 UTC"	33.53	-116.43	1.8	11	57	Southern California
ci	11272818	2	"Tuesday, March 26, 2013 13:30:28 UTC"	33.5	-116.46	1.4	11.2	11	Southern California
us	2013nfar	E	"Tuesday, March 26, 2013 13:25:59 UTC"	16.39	-98.02	4.6	10	180	"Oaxaca, Mexico"
ci	11272802	2	"Tuesday, March 26, 2013 13:23:14 UTC"	33.14	-115.65	1.3	6.7	15	Southern California
us	b000fssk	8	"Tuesday, March 26, 2013 13:12:17 UTC"	16.23	-98.17	5.1	11.4	287	"Oaxaca, Mexico"
nc	71960820	2	"Tuesday, March 26, 2013 13:11:21 UTC"	39.64	-121.11	1.8	10.4	20	Northern California
ci	11272786	2	"Tuesday, March 26, 2013 13:11:16 UTC"	33.1	-116.61	1.3	12.9	27	Southern California
us	b000fssd	C	"Tuesday, March 26, 2013 13:04:48 UTC"	16.2	-98.13	5.5	10	544	"offshore Oaxaca, Mexico"
nc	71960810	1	"Tuesday, March 26, 2013 12:49:16 UTC"	36.93	-121.43	1.7	6	23	Central California
uu	60017042	2	"Tuesday, March 26, 2013 12:38:27 UTC"	38.76	-111.52	1	8.8	9	Utah
nc	71960800	3	"Tuesday, March 26, 2013 12:36:39 UTC"	36.93	-121.43	2.1	7.3	74	Central California
us	b000fsrq	8	"Tuesday, March 26, 2013 11:55:15 UTC"	35.75	140.84	4.6	10	45	"near the east coast of Honshu, Japan"
us	b000fsrp	7	"Tuesday, March 26, 2013 11:48:24 UTC"	35.77	140.79	4.7	17.4	38	"near the east coast of Honshu, Japan"
pr	13085003	0	"Tuesday, March 26, 2013 11:47:54 UTC"	18.51	-64.56	3	1	8	Virgin Islands region
ak	10681387	1	"Tuesday, March 26, 2013 11:37:09 UTC"	63.53	-147.34	2	0	29	Central Alaska
hv	60482751	4	"Tuesday, March 26, 2013 11:35:10 UTC"	19.46	-155.6	1	15.3	13	"Island of Hawaii, Hawaii"
nc	71960785	0	"Tuesday, March 26, 2013 11:30:53 UTC"	38.81	-122.81	1	2.1	16	Northern California
ak	10681384	2	"Tuesday, March 26, 2013 11:20:45 UTC"	51.9	-173.85	3.3	30.3	17	"Andreanof Islands, Aleutian Islands, Alaska"
nc	71960780	1	"Tuesday, March 26, 2013 11:19:55 UTC"	38.79	-122.78	1.4	3.8	28	Northern California
ci	11272754	1	"Tuesday, March 26, 2013 11:17:24 UTC"	33.05	-116.44	1.2	14.4	35	Southern California
ak	10681379	1	"Tuesday, March 26, 2013 11:14:58 UTC"	62	-147.97	1.5	34.4	11	Central Alaska
ci	11272746	2	"Tuesday, March 26, 2013 11:14:10 UTC"	36.16	-118.07	1.8	5.8	29	Central California
ak	10681376	2	"Tuesday, March 26, 2013 11:01:47 UTC"	58.85	-154.58	2.6	128.3	30	Alaska Peninsula
pr	13085002	0	"Tuesday, March 26, 2013 11:00:25 UTC"	18.52	-66.29	2.5	85	4	Puerto Rico region
nc	71960770	0	"Tuesday, March 26, 2013 10:58:16 UTC"	36.94	-121.43	1	7.1	9	Central California
ci	11272738	2	"Tuesday, March 26, 2013 10:55:30 UTC"	34.71	-116.29	2	1.4	24	Southern California
nc	71960765	1	"Tuesday, March 26, 2013 10:45:50 UTC"	36.93	-121.43	1.7	5.4	24	Central California
nc	71960760	5	"Tuesday, March 26, 2013 10:43:59 UTC"	36.93	-121.43	3	7.8	106	Central California
ak	10681366	1	"Tuesday, March 26, 2013 10:39:55 UTC"	65.25	-140.81	3.2	4.4	14	"northern Yukon Territory, Canada"
